"ID";"NederlandseEconomie";"Perioden";"CO2_1";"N2O_2";"CH4_3";"BroeikasgasEquivalent_4";"NOx_5";"SO2_6";"NH3_7";"ZuurEquivalent_8";"CFK12Equivalent_9";"CO_10";"NMVOS_11";"PM10_12"
"62";"B000580";"1992JJ00";"15750";"0.4";"5";"15991";"120.1";"4.9";"1.4";"2.8";"0";"517.5";"105.6";"5.9"
"63";"B000580";"1993JJ00";"15847";"0.5";"4.6";"16101";"109.9";"4.7";"1.5";"2.6";"0";"483.8";"98.1";"5.5"
"64";"B000580";"1994JJ00";"16297";"0.5";"4.4";"16570";"102";"4.5";"1.7";"2.5";"0";"460.4";"92";"5.3"
"65";"B000580";"1995JJ00";"16518";"0.6";"4.3";"16808";"95.1";"4.2";"2.1";"2.3";"0";"454";"86.3";"5.1"
"66";"B000580";"1996JJ00";"16589";"0.6";"4";"16879";"89.2";"3.2";"2.5";"2.2";"0";"438.9";"80";"4.9"
"67";"B000580";"1997JJ00";"17227";"0.7";"3.9";"17519";"84";"1.8";"2.9";"2";"0";"425.2";"74.5";"4.7"
"68";"B000580";"1998JJ00";"17314";"0.6";"3.6";"17596";"77.1";"1.9";"3.1";"1.9";"0";"401.3";"67.8";"4.6"
"69";"B000580";"1999JJ00";"18001";"0.6";"3.4";"18279";"73.7";"2";"3.6";"1.9";"0";"394.4";"61.7";"4.6"
"70";"B000580";"2000JJ00";"18205";"0.7";"3.1";"18486";"67.4";"1.5";"4.2";"1.8";"0";"383.2";"52.9";"4.4"
"71";"B000580";"2001JJ00";"17574";"0.6";"2.9";"17838";"59.8";"0.6";"4.4";"1.6";"0";"370.1";"46.4";"4.1"
"72";"B000580";"2002JJ00";"17875";"0.6";"2.8";"18133";"56.2";"0.7";"4.6";"1.5";"0";"374.1";"42.7";"4"
"73";"B000580";"2003JJ00";"18042";"0.6";"2.8";"18292";"52.5";"0.4";"4.7";"1.4";"0";"376.7";"39.2";"3.8"
"74";"B000580";"2004JJ00";"18320";"0.6";"2.6";"18562";"49.9";"0.5";"4.8";"1.4";"0";"373.8";"35.6";"3.7"
"75";"B000580";"2005JJ00";"18171";"0.6";"2.5";"18406";"47.6";"0.3";"4.7";"1.3";"0";"366.5";"33.3";"3.6"
"76";"B000580";"2006JJ00";"17953";"0.6";"2.5";"18179";"45";"0.3";"4.6";"1.3";"0";"357.3";"31.4";"3.4"
"77";"B000580";"2007JJ00";"17956";"0.5";"2.5";"18175";"43.2";"0.3";"4.5";"1.2";"0";"354.5";"32.1";"3.3"
"78";"B000580";"2008JJ00";"17923";"0.5";"2.5";"18134";"41.4";"0.2";"4.3";"1.2";"0";"350.6";"31.7";"3.2"
"79";"B000580";"2009JJ00";"18044";"0.5";"2.5";"18244";"40";"0.2";"4.2";"1.1";"0";"345.8";"30.5";"3"
"80";"B000580";"2010JJ00";"17814";"0.4";"2.4";"18001";"38";"0.1";"4.1";"1.1";"0";"337.4";"29.4";"2.9"
"81";"B000580";"2011JJ00";"17943";"0.4";"2.4";"18122";"36.3";"0.1";"4";"1";"0";"333";"28.6";"2.7"
"82";"B000580";"2012JJ00";"17760";"0.4";"2.3";"17926";"34.3";"0.1";"3.8";"1";"0";"323.3";"27.4";"2.5"
"83";"B000580";"2013JJ00";"17827";"0.4";"2.3";"17992";"34.5";"0.1";"3.7";"1";"0";"311.9";"26.4";"2.4"
"84";"B000580";"2014JJ00";"17995";"0.4";"2.3";"18156";"34.5";"0.1";"3.7";"1";"0";"306.7";"25.4";"2.3"
"85";"B000580";"2015JJ00";"17851";"0.3";"2.2";"18008";"34.1";"0.1";"3.6";"1";"0";"301.1";"24.7";"2.2"
"86";"B000580";"2016JJ00";"17765";"0.3";"2.3";"17926";"33.4";"0.1";"3.6";"0.9";"0";"309";"24.5";"2.1"
"87";"B000580";"2017JJ00";"17728";"0.3";"2.3";"17888";"32.5";"0.1";"3.6";"0.9";"0";"306";"24.3";"2.1"
"88";"B000580";"2018JJ00";"17520";"0.3";"2.2";"17673";"31.4";"0.1";"3.5";"0.9";"0";"298.7";"23.2";"2"
"89";"B000580";"2019JJ00";"17685";"0.3";"2.2";"17838";"31.3";"0.1";"3.5";"0.9";"0";"297.8";"22.9";"2"
"90";"B000581";"1990JJ00";"22569";"0.2";"22.2";"23184";"23.5";"1.2";"13.3";"1.3";"678.7";"86.6";"52.4";"5.1"
"91";"B000581";"1991JJ00";"25647";"0.2";"24.1";"26315";"25.9";"1";"13.4";"1.4";"571.8";"84.5";"52.3";"5"
"92";"B000581";"1992JJ00";"23692";"0.2";"22.5";"24320";"23.3";"0.9";"13.6";"1.3";"464.9";"82.3";"52.2";"4.9"
"93";"B000581";"1993JJ00";"24828";"0.2";"23.1";"25477";"24.4";"0.9";"13.6";"1.4";"358";"80.2";"52.2";"4.8"
"94";"B000581";"1994JJ00";"23332";"0.2";"22";"23953";"23";"0.8";"13.4";"1.3";"251.2";"78";"52.1";"4.6"
"95";"B000581";"1995JJ00";"25163";"0.3";"23.4";"25888";"25.3";"0.8";"10.9";"1.2";"144.3";"90.6";"53.8";"5.2"
"96";"B000581";"1996JJ00";"29072";"0.3";"26.1";"29891";"28.8";"0.7";"10.8";"1.3";"58.5";"91.7";"55.9";"5"
"97";"B000581";"1997JJ00";"24672";"0.3";"22.9";"25406";"24.2";"0.6";"10.9";"1.2";"48.8";"90.5";"53.7";"5.1"
"98";"B000581";"1998JJ00";"23594";"0.3";"22";"24317";"22.7";"0.6";"11";"1.2";"42.1";"88.8";"48.7";"5.1"
"99";"B000581";"1999JJ00";"22459";"0.3";"20.9";"23119";"22.3";"0.6";"11";"1.2";"45.1";"79.5";"46.7";"4.8"
"100";"B000581";"2000JJ00";"22473";"0.3";"20.9";"23346";"21.4";"0.5";"9.5";"1";"39.1";"87.2";"50.9";"5.1"
"101";"B000581";"2001JJ00";"23713";"0.2";"21.4";"24547";"22.8";"0.5";"10.9";"1.2";"34.6";"86.2";"50.4";"4.9"
"102";"B000581";"2002JJ00";"22923";"0.2";"20.8";"23721";"22.1";"0.5";"10.8";"1.1";"30.9";"82.9";"49.3";"5"
"103";"B000581";"2003JJ00";"23458";"0.2";"21.1";"24297";"21.9";"0.5";"10.6";"1.1";"27.6";"83.6";"49.4";"5.1"
"104";"B000581";"2004JJ00";"22566";"0.3";"20.5";"23443";"19.5";"0.4";"10.4";"1";"24.2";"85";"48.5";"4.9"
"105";"B000581";"2005JJ00";"21848";"0.3";"20.1";"22730";"18.1";"0.4";"10.9";"1";"21.2";"87.1";"49.3";"4.9"
"106";"B000581";"2006JJ00";"22078";"0.3";"20.2";"22993";"16.3";"0.4";"10.6";"1";"18.3";"89.7";"49.9";"5"
"107";"B000581";"2007JJ00";"19946";"0.3";"18.3";"20842";"14.3";"0.4";"10.2";"0.9";"15.3";"88";"49.8";"4.9"
